Material,"Light-Fram
(SF & Mid-Rise MF)","Reinforced Concret
(High-Rise MF)",Mass Timber
Material,LF,RC,MT
Concrete (wIth Portland Cement),0.203508772,1.193859649,0.100877193
Iron/Steel,0.014035088,0.021929825,0.004385965
Wood,0.095614035,0.071052632,0.101438596
Wood (except CLT),0.095614035,0.071052632,0.075438596
CLT,0,0,0.026
