,Scenario,N_HH,N_SF,Avg_FA_SF,Total_FA_SF,N_MF,Avg_FA_MF,Total_FA_MF,Total_FA_MRMF,Total_FA_HRMF,Conv_Total_FA_SF,Conv_Total_FA_LFSF,Conv_Total_FA_RCSF,Conv_Total_FA_MF,Conv_Total_FA_MRMF,Conv_Total_FA_HRMF,Avg_FA_New_SF,Avg_FA_New_MF,Total_FA_New_SF,Total_FA_New_SF_LF,Total_FA_New_SF_RC,Total_FA_New_MF,Total_FA_New_MF_LF,Total_FA_New_MF_RC,Conv_Total_FA_New_SF,Conv_Total_FA_New_LFSF,Conv_Total_FA_New_RCSF,Conv_Total_FA_New_MF,Conv_Total_FA_New_LFMF,Conv_Total_FA_New_RCMF,Total_FA_extended_SF,Total_FA_extended_LFSF,Total_FA_extended_RCSF,Total_FA_extended_RC_MTorAC,MT_Total_FA_SF&MF,MT_Total_FA_RCSF,MT_Total_FA_RCMF,MT_extended,AC_Total_FA_SF&MF,AC_Total_FA_RCSF,AC_Total_FA_RCMF,AC_extended,FA_new_LF,FA_new_RC,FA_new_MT,FA_new_AC
0,BAU 2018,118449.0,57801.0,131.53,7602565.53,75408.0,98.37,7417884.96,5415056.0208,2002828.9392000001,7602565.53,7146411.5982,456153.9318000004,7417884.96,5415056.0208,2002828.9392000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BAU 2020,,57854.0,132.766,7681044.164,76990.727,98.2253,7562437.2567931,5520579.197458963,2041858.0593341372,7602565.53,7146411.5982,456153.9318000004,7417884.96,5415056.0208,2002828.9392000001,188.592,91.33116247659926,9995.376,9195.745920000001,799.6300799999996,144552.29679310042,101186.60775517029,43365.68903793013,9995.376,9195.745920000001,799.6300799999996,144552.29679310042,101186.60775517029,43365.68903793013,68483.25799999961,64374.262519999626,4108.9954799999805,,,,,,,,,,174756.61619516992,48274.31459793012,,
2,BAU 2040,137400.0,58384.0,145.09,8470934.56,92818.0,96.79,8983854.22,6558213.5806,2425640.6394,7602565.53,7146411.5982,456153.9318000004,7417884.96,5415056.0208,2002828.9392000001,188.59,89.94653991958648,109947.97,92356.2948,17591.675200000005,1565969.2600000007,1096178.4820000005,469790.7780000003,109947.97,92356.2948,17591.675200000005,1565969.2600000007,1096178.4820000005,469790.7780000003,758421.0600000003,712915.7964000002,45505.26360000006,,,,,,,,,,1901450.573200001,532887.7168000003,,
3,Mass-Timber,,58384.0,145.09,8470934.56,92818.0,96.79,8983854.22,6558213.5806,2425640.6394,7602565.53,7146411.5982,456153.9318000004,7417884.96,5415056.0208,2002828.9392000001,188.59,89.94653991958648,109947.97,92356.2948,17591.675200000005,1565969.2600000007,1096178.4820000005,469790.7780000003,92356.2948,92356.2948,0.0,1096178.4820000005,1096178.4820000005,0.0,758421.0600000003,712915.7964000002,0.0,45505.26360000006,532887.7168000003,17591.675200000005,469790.7780000003,45505.26360000006,,,,,1901450.573200001,0.0,532887.7168000003,
4,Alternative Cement,,58384.0,145.09,8470934.56,92818.0,96.79,8983854.22,6558213.5806,2425640.6394,7602565.53,7146411.5982,456153.9318000004,7417884.96,5415056.0208,2002828.9392000001,188.59,89.94653991958648,109947.97,92356.2948,17591.675200000005,1565969.2600000007,1096178.4820000005,469790.7780000003,92356.2948,92356.2948,0.0,1096178.4820000005,1096178.4820000005,0.0,758421.0600000003,712915.7964000002,0.0,45505.26360000006,,,,,532887.7168000003,17591.675200000005,469790.7780000003,45505.26360000006,1901450.573200001,0.0,,532887.7168000003
