,BAU2020_Total,BAU2020_PE,BAU2020_CS,BAU2040_Total,BAU2040_PE,BAU2040_CS,Compact_City_Total,Compact_City_PE,Compact_City_CS,Effective_Design_Total,Effective_Design_PE,Effective_Design_CS,Intensive_Use_Total,Intensive_Use_PE,Intensive_Use_CS,Mass_Timber_Total,Mass_Timber_PE,Mass_Timber_CS,Alternative_Cement_Total,Alternative_Cement_PE,Alternative_Cement_CS,'+ Effective_Design_Total,'+ Effective_Design_PE,'+ Effective_Design_CS,'+ Intensive_Use_Total,'+ Intensive_Use_PE,'+ Intensive_Use_CS,'+ Mass_Timber_Total,'+ Mass_Timber_PE,'+ Mass_Timber_CS,'+ Alternative_Cement_Total,'+ Alternative_Cement_PE,'+ Alternative_Cement_CS
LF,-3488.2037576040843,16004.699593712856,-1772.0821228469943,-3461.186441418183,15880.73779003637,-19341.92423145455,-3441.1680234181845,15788.888578036374,-19230.05660145456,-3461.186441418183,15880.73779003637,-19341.92423145455,-1906.279671069092,8746.459667258187,-10652.73933832728,-2347.9246584000016,10772.830785600006,-13120.755444000008,-2347.9246584000016,10772.830785600006,-13120.755444000008,-3441.1680234181845,15788.888578036374,-19230.05660145456,-1873.5726562971481,8596.392187716327,-10469.964844013475,-968.0515327085734,4441.64820889816,-5409.699741606733,-968.0515327085734,4441.64820889816,-5409.699741606733
RC,1132.997128428948,2265.994256857896,-102.99973894808618,1124.221683018182,2248.443366036364,-1124.221683018182,1117.7195370181823,2235.4390740363647,-1117.7195370181823,1124.221683018182,2248.443366036364,-1124.221683018182,619.1752384290909,1238.3504768581818,-619.1752384290909,1124.221683018182,2248.443366036364,-1124.221683018182,1124.221683018182,2248.443366036364,-1124.221683018182,1117.7195370181823,2235.4390740363647,-1117.7195370181823,608.5517323522702,1217.1034647045403,-608.5517323522702,608.5517323522702,1217.1034647045403,-608.5517323522702,608.5517323522702,1217.1034647045403,-608.5517323522702
MT,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-7661.860506654549,4092.8742022727292,-11754.734708927277,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-6232.115968227249,3329.121777899171,-9561.237746126419,-0.0,0.0,-0.0
CSA cement,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1375.2057319636372,4845.963055490911,-6221.168787454549,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1118.5849173741217,3941.6801850326183,-5060.26510240674
AAC,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1506.1777064363641,4714.991081018184,-6221.168787454549,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1225.1168142668948,3835.1482881398447,-5060.26510240674
Total (with CSA),-2355.206629175136,18270.69385057075,-1875.0818617950806,-2336.964758400001,18129.181156072733,-20466.145914472734,-2323.4484864000024,18024.327652072738,-20347.776138472742,-2336.964758400001,18129.181156072733,-20466.145914472734,-1287.1044326400013,9984.810144116369,-11271.91457675637,-8885.563482036368,17114.1483539091,-25999.711835945465,-2598.908707345457,17867.23720712728,-20466.145914472738,-2323.4484864000024,18024.327652072738,-20347.776138472742,-1265.020923944878,9813.495652420866,-11078.516576365744,-6591.615768583552,8987.873451501871,-15579.489220085421,-1478.084717730425,9600.431858635318,-11078.516576365744
Total (with AAC),-2355.206629175136,18270.69385057075,-1875.0818617950806,-2336.964758400001,18129.181156072733,-20466.145914472734,-2323.4484864000024,18024.327652072738,-20347.776138472742,-2336.964758400001,18129.181156072733,-20466.145914472734,-1287.1044326400013,9984.810144116369,-11271.91457675637,-8885.563482036368,17114.1483539091,-25999.711835945465,-2729.880681818184,17736.265232654554,-20466.145914472738,-2323.4484864000024,18024.327652072738,-20347.776138472742,-1265.020923944878,9813.495652420866,-11078.516576365744,-6591.615768583552,8987.873451501871,-15579.489220085421,-1584.6166146231983,9493.899961742545,-11078.516576365744
