,BAU2020_Total,BAU2020_PE,BAU2020_CS,BAU2040_Total,BAU2040_PE,BAU2040_CS,Compact_City_Total,Compact_City_PE,Compact_City_CS,Effective_Design_Total,Effective_Design_PE,Effective_Design_CS,Intensive_Use_Total,Intensive_Use_PE,Intensive_Use_CS,Mass_Timber_Total,Mass_Timber_PE,Mass_Timber_CS,Alternative_Cement_Total,Alternative_Cement_PE,Alternative_Cement_CS,'+ Effective_Design_Total,'+ Effective_Design_PE,'+ Effective_Design_CS,'+ Intensive_Use_Total,'+ Intensive_Use_PE,'+ Intensive_Use_CS,'+ Mass_Timber_Total,'+ Mass_Timber_PE,'+ Mass_Timber_CS,'+ Alternative_Cement_Total,'+ Alternative_Cement_PE,'+ Alternative_Cement_CS
LF,-6976.407515208169,32009.39918742571,-38985.806702633876,-76146.10171120003,349376.23138080013,-425522.33309200016,-75705.69651520006,347355.54871680023,-423061.2452320003,-76146.10171120003,349376.23138080013,-425522.33309200016,-41938.152763520025,192422.1126796801,-234360.26544320013,-51654.342484800036,237002.27728320015,-288656.61976800015,-51654.342484800036,237002.27728320015,-288656.61976800015,-75705.69651520006,347355.54871680023,-423061.2452320003,-41218.59843853726,189120.6281297592,-230339.22656829644,-21297.133719588615,97716.26059575952,-119013.39431534814,-21297.133719588615,97716.26059575952,-119013.39431534814
RC,2265.994256857896,4531.988513715792,-2265.994256857896,24732.8770264,49465.7540528,-24732.8770264,24589.82981440001,49179.65962880002,-24589.82981440001,24732.8770264,49465.7540528,-24732.8770264,13621.85524544,27243.71049088,-13621.85524544,24732.8770264,49465.7540528,-24732.8770264,24732.8770264,49465.7540528,-24732.8770264,24589.82981440001,49179.65962880002,-24589.82981440001,13388.138111749944,26776.276223499888,-13388.138111749944,13388.138111749944,26776.276223499888,-13388.138111749944,13388.138111749944,26776.276223499888,-13388.138111749944
MT,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-168560.93114640008,90043.23245000004,-258604.1635964001,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-137106.55130099948,73240.67911378176,-210347.23041478122,-0.0,0.0,-0.0
CSA cement,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-30254.526103200016,106611.18722080004,-136865.71332400007,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-24608.868182230675,86716.9640707176,-111325.83225294828
AAC,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-33135.90954160001,103729.80378240003,-136865.71332400007,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-26952.56991387169,84373.26233907658,-111325.83225294828
Total (with CSA),-4710.413258350272,36541.3877011415,-41251.800959491775,-51413.22468480002,398841.98543360014,-450255.21011840017,-51115.86670080005,396535.20834560023,-447651.0750464003,-51413.22468480002,398841.98543360014,-450255.21011840017,-28316.297518080028,219665.82317056012,-247982.12068864013,-195482.3966048001,376511.2637860002,-571993.6603908002,-57175.99156160005,393079.21855680016,-450255.2101184002,-51115.86670080005,396535.20834560023,-447651.0750464003,-27830.460326787314,215896.90435325907,-243727.3646800464,-145015.54690883815,197733.21593304118,-342748.7628418793,-32517.863790069347,211209.500889977,-243727.36468004636
Total (with AAC),-4710.413258350272,36541.3877011415,-41251.800959491775,-51413.22468480002,398841.98543360014,-450255.21011840017,-51115.86670080005,396535.20834560023,-447651.0750464003,-51413.22468480002,398841.98543360014,-450255.21011840017,-28316.297518080028,219665.82317056012,-247982.12068864013,-195482.3966048001,376511.2637860002,-571993.6603908002,-60057.375000000044,390197.83511840017,-450255.2101184002,-51115.86670080005,396535.20834560023,-447651.0750464003,-27830.460326787314,215896.90435325907,-243727.3646800464,-145015.54690883815,197733.21593304118,-342748.7628418793,-34861.56552171036,208865.79915833598,-243727.36468004636
